3M SKU:;3M SKU Description:;Division:;contar
UU010885166;RELYX UNIVERSAL TRIAL KIT TR 56969;OCSD;0
UU010903167;RELYX UNIVERSAL TRIAL KIT A1 56970;OCSD;0
UU010903175;RELYX UNIVERSAL REFILL TR 56971;OCSD;0
UU010903191;RELYX UNIVERSAL REFILL A3O 56973;OCSD;0
UU010899217;RELYX UNIVERSAL REFILL WO 56974;OCSD;0
UU010899258;RELYX UNIVERSAL MICRO/ELONG TIP RF 56976;OCSD;0
UU010899241;RELYX UNIVERSAL MICRO MIX TIP RF 56975;OCSD;0
UU010906681;3M SCOTCHBOND UNIVERSAL PLUS ADHESIVE 1.5ML;OCSD;0
UU010906632;SCOTCHBOND UINVERSAL PLUS 3ML 41296;OCSD;0
UU010903183;RelyX Universal Refill A1 3.4g;OCSD;0
UU010434650;Ketac Cem Easymix 30 grs/12 ml;OCSD;0
H0001389339;Concise Sue, Composite Autocurado;OCSD;0
XH002400733;Promocion Kit Ketac Molar;OCSD;0
XH002401129;Repuestos Discos Sof-Lex;OCSD;0
XH002401509;Filtek A110;OCSD;0
XH002401517;Filtek A110;OCSD;0
XH002401525;Filtek A110;OCSD;0
XH002401608;Promo Express c/ pistola dispensadora;OCSD;0
XH002401707;7312 Mat.Pesado Express con cuchara;OCSD;9
XH002401947;Sellante Autocurado (6 ml Resina A, 6 ml Resina B, 9 ml Acido);OCSD;0
XH002401962;Sellante Fotocurado (12 ml Resina, 9 ml Acido);OCSD;0
XH002404008;Kit Vitremer Restauracion Pedo;OCSD;0
XH002404297;P60 Posterior Syringe Refill;OCSD;0
XH002405666;Promo Impregum F con Adhesivo;OCSD;0
XH003400153;GUIDE LIGHT 60 DEG.MDL.55;OCSD;0
12271603107;CABLE-HANDPIECE;OCSD;0
41530006364;Puntas Intraorales Express(16 puntas);OCSD;0
41530052061;Material Liv. Imprint II baja viscosidad;OCSD;0
41530052574;Puntas Mezcladoras Mat. Pesado Imprint II;OCSD;0
41530052590;Puntas Mezcladoras Mat. Liv. Imprint II;OCSD;0
41530052608;9376S Puntas Intraorales Mat. Liv. Imprint II;OCSD;0
41530057292;Imprint II Refill Material Pesado;OCSD;0
70200400763;Cinta Matrix Poliester con dispensador;OCSD;0
70200442583;1956 Huinchas Sof-Lex;OCSD;0
70200452947;1954 Huinchas Sof-Lex;OCSD;67
