Codigo;Descripcion Comprador
70201139303;ADHESIVO SINGLE BOND UNIVERSAL FRASCO 5ML MARCA 3M
70202091800;BANDA 1ER. MOLAR LR 35+ CON TUBO, ROTH, MARCA 3M
70201059881;3M FILTEK Z350 XT UNIV.COLOR A1E JERINGA 4 GRS MARCA 3M USA FICHA ADJUNTA VCTO SUP A 18 MESES DESDE RECEPCION ENTREGA 2 DIAS HABILES
70201059881;3M INFO FILTEK Z250 XT JERINGA A1 FICHA TECNICA VCTO SUP A 13 MESES
70202067503;PERM RES SS OFIII OVOIDL 016X022 300-018 - MARCA:3M- COD:70202067503 VTO ENTREGA EN:5 A 7 DIAS CON STOCK65 DIAS
70201057711;527824 VITREBOND PLUS CLICKER, VCTO 07-2025, 3M DENTAL. DESPACHO EN 24 HORAS, SIN COSTO ADICIONAL. VENCIMIENTO SUPERIOR A 24 MESES. SE ADJUNTA CARTA DE CANJE. SIN MONTO MINIMO DE DESPACHO.
70202078831;252-1754 ARCO NITINOL TERMO-ACTIVADO (HA) INFERIOR .017X.025 ORTHOFORM II (PAQUETE DE 10 UNIDADES),MARCA 3M UNITEK, PROCEDENCIA USA DESCRIPCIÓN: LOS ARCOS DE NITINOLTM OFRECEN LA ELASTICIDAD Y MALEABILIDAD DEL ACERO Y EL RANGO DE TRABAJO Y LAS FUERZAS LIGERAS QUE SÓLO EL NÍQUEL TITANIO PUEDE OFRECER. PRODUCTO PARA USO EN TRATAMIENTOS DE ORTODONCIA. CARACTERÍSTICAS Y BENEFICIOS: . ALAMBRE DE FUERZA MEDIA, FÁCILMENTE DEFORMABLE . FRICCIÓN MEDIA. FUERZAS UN 40 % MENORES QUE EL ACERO INOXIDABLE . MÓDULO BAJO . EL MÁS RÍGIDO DE LOS ALAMBRES NITINOL RECOMENDADO PARA LA REALIZACIÓN DE DOBLECES DIRIGIDOS AL CIERRE DE ESPACIOS . TERMINADO MATE PARA UNA MEJOR APARIENCIA ESTÉTICA . RANGO DE TRABAJO LARGO . DISPONIBLES EN FORMA REDONDA Y RECTANGULAR PARA RANURAS DE .018 Y .022 . PREFORMADOS, NO SE DEFORMAN . PRESENTACIÓN EN UNIDAD PARA EVITAR CONTAMINACIÓN
70201088260;3M CLINPRO BARNIZ FLUOR WHITE X UNIDOSIS. MARCA 3M USA FICHA ADJUNTA ENTREGA 2 DIAS HABILES
XH002405526;"SELLANTE FOTOCURADO, SELLANTE FOSAS FISURAS SIN ACIDO KIT: 6ML DE SELLANTE PARA FOSETAS Y FISURAS BLANCO FOTOPOLIMERIZABLE; 1 MANGO APLICADOR 60 CEPILLOS DISPENSADOR DE MEZCLA, CONCISE MARCA 3M"
70000846686;BRACKETS GEMINI MBT SAPC X 20 UNID UNITEK-119-144 MARCA 3M UNITEK USA FICHA ADJUNTA ENTREGA 5 DIAS CORRIDOS.
